,iso2,nc_2,flow,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,sum_2021,name
96,AT,49,1,875273281.0,893259182.0,867997998.0,865114765.0,727570018.0,728493698.0,Austria
97,AT,49,2,414928368.0,427566375.0,462322557.0,391242548.0,386493787.0,401299223.0,Austria
98,AT,50,1,6032914.0,5750977.0,10027821.0,6626779.0,3226582.0,4132825.0,Austria
99,AT,50,2,4390814.0,4134633.0,5143775.0,3982758.0,2322105.0,1508384.0,Austria
100,AT,51,1,42298544.0,55300412.0,61719960.0,56055756.0,60733038.0,73304100.0,Austria
101,AT,51,2,55845898.0,67508602.0,63993326.0,50157387.0,30898683.0,36509466.0,Austria
102,AT,52,1,213082311.0,220193356.0,239395429.0,235615545.0,228774918.0,254421343.0,Austria
103,AT,52,2,278392996.0,292734258.0,357428013.0,380969672.0,369587336.0,430526307.0,Austria
104,AT,53,1,13073896.0,12403094.0,13982894.0,13945635.0,11215534.0,12100304.0,Austria
105,AT,53,2,7986778.0,7679787.0,7829291.0,7310438.0,6692456.0,7120228.0,Austria
106,AT,54,1,150245577.0,164739168.0,176668330.0,169489596.0,142783146.0,169395786.0,Austria
107,AT,54,2,87620583.0,90239043.0,93043269.0,96909715.0,86930945.0,94526602.0,Austria
108,AT,55,1,140083849.0,146238063.0,135364265.0,130156253.0,114261484.0,143079108.0,Austria
109,AT,55,2,1043076837.0,1098184779.0,1105784000.0,1128078542.0,845407989.0,1015796950.0,Austria
110,AT,56,1,220705100.0,236850879.0,237042572.0,244071638.0,240144787.0,290941749.0,Austria
111,AT,56,2,196946817.0,214147762.0,204154929.0,198803135.0,203578139.0,224724137.0,Austria
112,AT,57,1,188758654.0,177230101.0,173762150.0,177122611.0,155740903.0,159420450.0,Austria
113,AT,57,2,153880417.0,161009995.0,151995805.0,153483167.0,117059195.0,107456835.0,Austria
114,AT,58,1,63509279.0,60168859.0,61028287.0,60927137.0,50483959.0,54618193.0,Austria
115,AT,58,2,99672566.0,95246427.0,92787516.0,84621830.0,69944628.0,85416866.0,Austria
116,AT,59,1,149667016.0,156818758.0,144414429.0,153030831.0,139875777.0,157404208.0,Austria
117,AT,59,2,204185906.0,212302663.0,190400210.0,205176956.0,196474876.0,205203513.0,Austria
118,AT,60,1,103405083.0,101237016.0,105859725.0,100294739.0,96289013.0,105576478.0,Austria
119,AT,60,2,142569353.0,146517670.0,154346556.0,138778217.0,123707779.0,159702763.0,Austria
120,AT,61,1,2682069010.0,2923451190.0,2889637653.0,3015177002.0,2734771849.0,3048473748.0,Austria
121,AT,61,2,1218808599.0,1298994552.0,1269130400.0,1383274602.0,1181284539.0,1278276709.0,Austria
122,AT,62,1,2601171693.0,2774256269.0,2900200060.0,3000906759.0,2744943716.0,2771372823.0,Austria
123,AT,62,2,1014215059.0,1072963610.0,1202239428.0,1330733769.0,1183148457.0,1285777954.0,Austria
124,AT,63,1,605232063.0,626143986.0,624227730.0,655653366.0,1266615600.0,863828738.0,Austria
125,AT,63,2,360834303.0,351163330.0,341826367.0,347669671.0,605779141.0,432531230.0,Austria
126,AT,64,1,1514375318.0,1582288964.0,1680721114.0,1771091755.0,1590592543.0,1713314464.0,Austria
127,AT,64,2,762433146.0,767286945.0,849822611.0,971708038.0,809291633.0,844198085.0,Austria
128,AT,65,1,123060674.0,127532747.0,131617966.0,138126027.0,134120964.0,169442487.0,Austria
129,AT,65,2,67017634.0,80131851.0,94554192.0,93646642.0,82655541.0,83304597.0,Austria
130,AT,66,1,52884183.0,50551908.0,59993133.0,65470951.0,58941980.0,74281988.0,Austria
131,AT,66,2,37183674.0,41710297.0,43683750.0,52228952.0,45062867.0,63758532.0,Austria
132,AT,67,1,32720844.0,32254347.0,30361671.0,35708419.0,28333728.0,28056515.0,Austria
133,AT,67,2,32136146.0,33091451.0,32645958.0,35183186.0,31229279.0,33576684.0,Austria
134,AT,68,1,711088267.0,711492921.0,759078312.0,795973139.0,735792856.0,870264904.0,Austria
135,AT,68,2,804561883.0,917150254.0,925949076.0,891845686.0,793050853.0,918223255.0,Austria
136,AT,69,1,613532170.0,633014744.0,672184991.0,725603382.0,679425606.0,777500264.0,Austria
137,AT,69,2,403993978.0,438094280.0,495274881.0,534421757.0,452361004.0,448076610.0,Austria
138,AT,70,1,848098801.0,885360759.0,933904151.0,955030694.0,838024747.0,979137910.0,Austria
139,AT,70,2,946462105.0,935897390.0,953960709.0,979708273.0,770654201.0,911066381.0,Austria
140,AT,71,1,2371171566.0,2441845691.0,2639134567.0,1841796078.0,3377241063.0,5714424341.0,Austria
141,AT,71,2,1731985563.0,1579467250.0,1704676623.0,1722194130.0,2724682679.0,3506558152.0,Austria
142,AT,72,1,3228800290.0,3969076241.0,4356939408.0,3698548496.0,3110396788.0,5340996829.0,Austria
143,AT,72,2,5338470582.0,6444969999.0,7008291887.0,6335920683.0,5094544648.0,7187753919.0,Austria
144,AT,73,1,4058651097.0,4393210860.0,4795744960.0,4779731844.0,4419093412.0,5651198462.0,Austria
145,AT,73,2,4270273925.0,4829166909.0,5270460666.0,5257376124.0,4552438437.0,5787226987.0,Austria
146,AT,74,1,1331695674.0,1491729723.0,1499395955.0,1696709655.0,1706440616.0,2512885628.0,Austria
147,AT,74,2,992882034.0,1284044245.0,1341001771.0,1311758904.0,1396112937.0,1772538445.0,Austria
148,AT,75,1,234620007.0,443444243.0,554486820.0,443664068.0,418479245.0,388688022.0,Austria
149,AT,75,2,114602395.0,274280932.0,393422726.0,345340250.0,346330506.0,315610688.0,Austria
150,AT,76,1,2790903086.0,3165183917.0,3497551149.0,3384940030.0,2897341632.0,3939730378.0,Austria
151,AT,76,2,3386227873.0,3534988957.0,3769750242.0,3551471515.0,3197271232.0,3958904651.0,Austria
152,AT,78,1,88726519.0,96328294.0,100442427.0,88179545.0,62867095.0,92065401.0,Austria
153,AT,78,2,42253367.0,48206760.0,47217189.0,47250303.0,38963582.0,47932515.0,Austria
154,AT,79,1,284312230.0,424101673.0,420150188.0,363402759.0,286327883.0,354332803.0,Austria
155,AT,79,2,144030959.0,184696752.0,172583132.0,147345004.0,128987893.0,168229718.0,Austria
156,AT,80,1,61406151.0,84668393.0,79549803.0,62055486.0,51551567.0,102430433.0,Austria
157,AT,80,2,21178116.0,32297225.0,26429184.0,24859487.0,18925322.0,37740142.0,Austria
158,AT,81,1,339565941.0,439706891.0,462933801.0,394716599.0,316110772.0,453603044.0,Austria
159,AT,81,2,488810357.0,549381616.0,664056395.0,580112489.0,521007508.0,702783412.0,Austria
160,AT,82,1,1029969334.0,1129759555.0,1180016026.0,1130552419.0,1000943600.0,1209285953.0,Austria
161,AT,82,2,901172354.0,964828776.0,993097227.0,973893820.0,911715734.0,1128478617.0,Austria
162,AT,83,1,935536864.0,864898865.0,909225779.0,991171934.0,930053664.0,1051850194.0,Austria
163,AT,83,2,2004497163.0,2136057975.0,2311294839.0,2395465171.0,2305874956.0,2825806636.0,Austria
164,AT,84,1,19008703374.0,20338781041.0,21599719317.0,22020336851.0,20054387566.0,23277996176.0,Austria
165,AT,84,2,24786519053.0,26392459050.0,27450133125.0,28536128058.0,25353235258.0,28654621404.0,Austria
166,AT,85,1,16508974960.0,18122623771.0,19476817893.0,18990465481.0,17646253860.0,20856905307.0,Austria
167,AT,85,2,16804501626.0,18421424516.0,19421666685.0,17809102060.0,16529056895.0,18164206981.0,Austria
168,AT,86,1,960401980.0,1192958610.0,832827151.0,778884400.0,787307820.0,1369343633.0,Austria
169,AT,86,2,1156337014.0,1210774689.0,1079833682.0,1386571000.0,1472087183.0,1844341777.0,Austria
170,AT,87,1,15967568137.0,17426350892.0,18021496380.0,18888902005.0,15537160221.0,17500925771.0,Austria
171,AT,87,2,12751836034.0,13850624224.0,15614776652.0,17070295957.0,14450630164.0,15875075697.0,Austria
172,AT,88,1,824856190.0,1168341987.0,563071422.0,1114804328.0,778237256.0,611073088.0,Austria
173,AT,88,2,1372200989.0,1487149558.0,1262222845.0,1281884372.0,891588875.0,948387317.0,Austria
174,AT,89,1,103352821.0,82465247.0,22080137.0,73702431.0,39697315.0,36708761.0,Austria
