,iso2,partner_iso2,flow,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,sum_2021,ISO3,name
189,FR,SO,2,10792941.0,48754273.0,16142512.0,8774077.0,12641265.0,11192315.0,FRA,France
190,FR,KE,1,71594541.0,82293842.0,85715517.0,83486411.0,95951957.0,113476699.0,FRA,France
191,FR,KE,2,152383206.0,173586732.0,173646665.0,174616867.0,149971051.0,156776910.0,FRA,France
192,FR,UG,1,10175437.0,11169377.0,9100054.0,7141547.0,8513069.0,13018831.0,FRA,France
193,FR,UG,2,47239013.0,60593360.0,25780814.0,26345858.0,125942079.0,107251576.0,FRA,France
194,FR,TZ,1,34182005.0,36736803.0,23997431.0,23273098.0,24878766.0,22323305.0,FRA,France
195,FR,TZ,2,127553918.0,53154064.0,136978990.0,70255741.0,73365617.0,158610978.0,FRA,France
196,FR,SC,1,98291239.0,110122501.0,112573991.0,102123535.0,109785878.0,127321007.0,FRA,France
197,FR,SC,2,61850322.0,70849625.0,61431645.0,56506519.0,67173884.0,44656242.0,FRA,France
198,FR,IO,1,3.0,52067.0,558.0,53022.0,55.0,7738.0,FRA,France
199,FR,MZ,1,62670295.0,106273251.0,107293618.0,78382370.0,32986806.0,32272893.0,FRA,France
200,FR,MZ,2,142526241.0,26682164.0,30648926.0,30973701.0,21625525.0,108688186.0,FRA,France
201,FR,MG,1,449654447.0,609958330.0,619822635.0,571983132.0,486611764.0,540764445.0,FRA,France
202,FR,MG,2,321393716.0,353929742.0,371311435.0,378259589.0,313522369.0,347965696.0,FRA,France
203,FR,MU,1,253006582.0,274684429.0,238019038.0,230642301.0,177249648.0,197146806.0,FRA,France
204,FR,MU,2,349521046.0,559905067.0,405416500.0,555184002.0,329004136.0,327588478.0,FRA,France
205,FR,KM,1,8415083.0,13194049.0,19957983.0,13866196.0,6273682.0,6840549.0,FRA,France
206,FR,KM,2,40577308.0,31803354.0,33687089.0,35553882.0,37711863.0,46745278.0,FRA,France
207,FR,ZM,1,9172420.0,14070757.0,5182343.0,5599150.0,8269170.0,7088690.0,FRA,France
208,FR,ZM,2,19518166.0,23954238.0,27265850.0,23402837.0,23759453.0,25997464.0,FRA,France
209,FR,ZW,1,22664146.0,43330189.0,46778641.0,49779105.0,35202851.0,45790787.0,FRA,France
210,FR,ZW,2,17180355.0,23692089.0,22477833.0,19711998.0,20949019.0,23113396.0,FRA,France
211,FR,MW,1,800530.0,1096532.0,887168.0,1823104.0,3187457.0,5588293.0,FRA,France
212,FR,MW,2,16884657.0,11508797.0,12398632.0,8539926.0,11417440.0,4119832.0,FRA,France
213,FR,ZA,1,610916804.0,630928649.0,712626680.0,725810995.0,466638448.0,593273847.0,FRA,France
214,FR,ZA,2,1874301858.0,1796999547.0,1598506732.0,1706728935.0,1329546417.0,1590514150.0,FRA,France
215,FR,NA,1,123445287.0,96293927.0,35447384.0,41531582.0,52275060.0,90329156.0,FRA,France
216,FR,NA,2,8694571.0,11788690.0,7360195.0,9015799.0,14161265.0,19445892.0,FRA,France
217,FR,BW,1,879442.0,448940.0,12892265.0,31940037.0,356401.0,366508.0,FRA,France
218,FR,BW,2,35857556.0,10528017.0,106361771.0,161632806.0,41017259.0,57719716.0,FRA,France
219,FR,SZ,1,9079418.0,7072456.0,7640425.0,7805872.0,7061012.0,9361278.0,FRA,France
220,FR,SZ,2,3180555.0,2286946.0,5960887.0,2594198.0,1949394.0,3712046.0,FRA,France
221,FR,LS,1,5161.0,1882.0,4123.0,20565649.0,1186499.0,8488.0,FRA,France
222,FR,LS,2,516834.0,365156.0,592648.0,550556.0,2419233.0,329176.0,FRA,France
223,FR,US,1,29697485737.0,29081169282.0,30028170052.0,32921205263.0,24508124518.0,26455919832.0,FRA,France
224,FR,US,2,33005393732.0,34283733192.0,38659672906.0,42439860862.0,32772685795.0,35109460975.0,FRA,France
225,FR,CA,1,2408216942.0,2718932635.0,2642204644.0,2758042779.0,2757224032.0,3276952546.0,FRA,France
226,FR,CA,2,3068276758.0,3187886311.0,3395152522.0,3773860268.0,3135713175.0,3421544266.0,FRA,France
227,FR,GL,1,32572.0,20453.0,118476.0,58840.0,110845.0,2857987.0,FRA,France
228,FR,GL,2,1174819.0,7486503.0,2293849.0,2706999.0,4368528.0,5824319.0,FRA,France
229,FR,PM,1,662097.0,741296.0,437238.0,679681.0,1383068.0,798791.0,FRA,France
230,FR,PM,2,29060289.0,29637497.0,28711653.0,29964163.0,49287543.0,36750806.0,FRA,France
231,FR,MX,1,1724027806.0,1473523923.0,1543068984.0,1597020777.0,1364840360.0,1453287113.0,FRA,France
232,FR,MX,2,3734693170.0,3483371158.0,3339124947.0,3674605113.0,2616399207.0,3337374834.0,FRA,France
233,FR,BM,1,305582.0,198924.0,44016.0,6756450.0,1587694.0,181148.0,FRA,France
234,FR,BM,2,7458392.0,8632535.0,10869260.0,13989063.0,28799304.0,9094157.0,FRA,France
235,FR,GT,1,31833722.0,36674962.0,34486095.0,39102618.0,38459280.0,32339340.0,FRA,France
236,FR,GT,2,56328516.0,54444774.0,57747289.0,67153720.0,45847124.0,54960333.0,FRA,France
237,FR,BZ,1,358582.0,703652.0,1198284.0,1464603.0,1250155.0,1722289.0,FRA,France
238,FR,BZ,2,1295136.0,1400580.0,2867004.0,2209822.0,590628.0,2863733.0,FRA,France
239,FR,HN,1,67950699.0,69976029.0,77561442.0,69559318.0,77122417.0,89326650.0,FRA,France
240,FR,HN,2,16298331.0,21989020.0,18046056.0,35002617.0,15130363.0,29983359.0,FRA,France
241,FR,SV,1,11836269.0,10115253.0,6446586.0,9258647.0,7390456.0,7342762.0,FRA,France
242,FR,SV,2,24512832.0,22974035.0,208276899.0,31282886.0,36362936.0,35168434.0,FRA,France
243,FR,NI,1,30497590.0,27152421.0,31825875.0,36316542.0,23908593.0,26290979.0,FRA,France
244,FR,NI,2,10406223.0,10228522.0,9446052.0,9516779.0,8381569.0,8905927.0,FRA,France
245,FR,CR,1,76379508.0,68258854.0,62231871.0,52001564.0,59674272.0,90067766.0,FRA,France
246,FR,CR,2,60232694.0,60785417.0,57325062.0,71246786.0,63758798.0,61607459.0,FRA,France
247,FR,PA,1,14357261.0,8972744.0,14154460.0,11009515.0,9019405.0,12275376.0,FRA,France
248,FR,PA,2,288483938.0,331984178.0,457215663.0,576026186.0,360294382.0,499199306.0,FRA,France
249,FR,AI,1,32635.0,80122.0,33609.0,863.0,40436.0,29722.0,FRA,France
250,FR,AI,2,1500671.0,14951142.0,967884.0,2023422.0,928167.0,1384615.0,FRA,France
251,FR,CU,1,16992851.0,22214945.0,17600206.0,18944555.0,11378730.0,16042509.0,FRA,France
252,FR,CU,2,129549507.0,176540105.0,194597255.0,165526215.0,113859386.0,135761042.0,FRA,France
253,FR,KN,1,155077.0,32324.0,122180.0,505773.0,252912.0,137968.0,FRA,France
254,FR,KN,2,912507.0,2335580.0,1313841.0,1654153.0,6282355.0,3211495.0,FRA,France
255,FR,HT,1,11058297.0,17635489.0,21480203.0,12885976.0,11103542.0,10760977.0,FRA,France
256,FR,HT,2,43634362.0,51822806.0,50586330.0,43921312.0,45127610.0,41835566.0,FRA,France
257,FR,BS,1,17242222.0,15397103.0,32598172.0,29066610.0,14981956.0,20289017.0,FRA,France
258,FR,BS,2,85104006.0,62291867.0,32119970.0,34184884.0,24906065.0,27529099.0,FRA,France
